section,key,value
gate,gate_retrained.thr,0.65
gate,gate_retrained.precision,0.4545
gate,gate_retrained.recall,0.9091
gate,gate_retrained.f1,0.6061
gate,gate_retrained.false_instant_rate,0.5455
gate,gate_retrained.false_instant_fpr,0.9231
gate,gate_retrained.instant_rate,0.9167
gate,gate_retrained.accuracy,0.4583
gate,gate_retrained.n_instant_pred,44
gate,gate_retrained.n_false_instant,24
gate,gate_toy.thr,0.65
gate,gate_toy.precision,0.1429
gate,gate_toy.recall,0.0455
gate,gate_toy.f1,0.069
gate,gate_toy.false_instant_rate,0.8571
gate,gate_toy.false_instant_fpr,0.2308
gate,gate_toy.instant_rate,0.1458
gate,gate_toy.accuracy,0.4375
gate,gate_toy.n_instant_pred,7
gate,gate_toy.n_false_instant,6
gate,always_full.f1,0.0
gate,always_full.false_instant_rate,0.0
gate,always_instant.f1,0.6286
gate,always_instant.false_instant_rate,0.5417
gate,len_lt_12_words.f1,0.6567
gate,len_lt_12_words.false_instant_rate,0.5111
gate,logistic_regression.f1,0.8444
gate,logistic_regression.false_instant_rate,0.1739
e2e,gate_saves_latency,True
e2e,gate_saves_tokens,True
e2e,latency_savings_pct,75.9
e2e,token_savings_pct,55.2
e2e,false_instant_rate_gated,1.0
e2e,false_instant_rate_gated_lr,0.0
e2e,false_instant_rate_always_fast,1.0
e2e,quality_ok,True
wasm_scalar,median_importheavy_vs_js_pkg,0.3755388880907892
wasm_scalar,median_importheavy_vs_js_alu,0.07236582918288877
wasm_scalar,median_freestanding_vs_js_alu,0.3066195532200937
wasm_scalar,current_package_wasm_advantageous,False
wasm_batch,crossover_N,4096
wasm_batch,batch_wasm_advantageous,True
